2,deprecated-ewk
3,muon
4,e-gamma_ecal
5,b-tagging
6,higgs
7,top
8,b-physics
9,jets-met_hcal
10,heavy-ions
11,trigger
12,susy
13,tau-pflow
14,tracker-dpg
15,exotica
16,deprecated-qcd
17,forward
18,DataOps
19,FacOps
22,local
42,AnalysisOps
82,tracker-pog
102,caf-alca
103,caf-comm
104,caf-phys
105,upgrade
106,IB RelVal
107,RelVal
108,express
122,dqm
142,deprecated-undefined
162,SMP
163,B2G
164,caf-lumi
